Number,Artist
1,The Beatles
2,The Beach Boys
3,The Beatles
4,Bob Dylan
5,The Beatles
6,Marvin Gaye
7,The Rolling Stones
8,The Clash
9,Bob Dylan
10,The Beatles
11,Elvis Presley
12,Miles Davis
13,The Velvet Underground
14,The Beatles
15,The Jimi Hendrix Experience
16,Bob Dylan
17,Nirvana
18,Bruce Springsteen
19,Van Morrison
20,Michael Jackson
21,Chuck Berry
22,Robert Johnson
23,John Lennon / Plastic Ono Band
24,Stevie Wonder
25,James Brown
26,Fleetwood Mac
27,U2
28,The Who
29,Led Zeppelin
30,Joni Mitchell
31,Bob Dylan
32,The Rolling Stones
33,Ramones
34,The Band
35,David Bowie
36,Carole King
37,Eagles
38,Muddy Waters
39,The Beatles
40,Love
41,Sex Pistols
42,The Doors
43,Pink Floyd
44,Patti Smith
45,The Band
46,Bob Marley & The Wailers
47,John Coltrane
48,Public Enemy
49,The Allman Brothers Band
50,Little Richard
51,Simon & Garfunkel
52,Al Green
53,The Beatles
54,Ray Charles
55,The Jimi Hendrix Experience
56,Elvis Presley
57,Stevie Wonder
58,The Rolling Stones
59,Creedence Clearwater Revival
60,Captain Beefheart & His Magic Band
61,Sly & The Family Stone
62,Guns N' Roses
63,U2
64,The Rolling Stones
65,Phil Spector
66,Van Morrison
67,Radiohead
68,Michael Jackson
69,Led Zeppelin
70,Billy Joel
71,Paul Simon
72,Curtis Mayfield
73,Led Zeppelin
74,Neil Young
75,James Brown
76,Prince and the Revolution
77,AC/DC
78,Otis Redding
79,Led Zeppelin
80,John Lennon
81,The Clash
82,Neil Young
83,The Jimi Hendrix Experience
84,Aretha Franklin
85,Aretha Franklin
86,Bruce Springsteen
87,Pink Floyd
88,Johnny Cash
89,Dusty Springfield
90,Stevie Wonder
91,Elton John
92,Buddy Holly
93,Prince
94,Hank Williams
95,Miles Davis
96,The Who
97,Bob Dylan
98,Elvis Costello
99,Sly & The Family Stone
100,The Zombies
101,Frank Sinatra
102,Cream
103,John Coltrane
104,James Taylor
105,Ray Charles
106,Ramones
107,Sam Cooke
108,David Bowie
109,The Rolling Stones
110,The Velvet Underground
111,Radiohead
112,The Mamas and the Papas
113,Joni Mitchell
114,Cream
115,The Who
116,The Rolling Stones
117,Derek and the Dominos
118,Kanye West
119,Etta James
120,The Byrds
121,Sly & The Family Stone
122,Various Artists
123,Run D.M.C.
124,Moby Grape
125,Janis Joplin
